n,residual_inf,increment_inf,acoc,acoc_status,residual_near_precision
0,6.928468712748672861704569e-2,,,fewer_than_three_increments,False
1,4.112000642486402572473225e-10,7.287907741612510552822192e-2,,fewer_than_three_increments,False
2,2.875395195885733830553544e-44,4.298188705888393052017725e-10,,fewer_than_three_increments,False
3,9.334015549610730840600853e-179,2.963561693054029648781216e-44,4.151191392596676,usable,False
4,7.602064936733536462806248e-719,9.756259707104485989376585e-179,3.93667265169083,usable,False
5,5.946130296599909036603283e-1002,7.835001626294542638217017e-719,4.016099650800581,usable,True
