problem,N,iteration_dps,profile_dps,acoc_5,residual_4,difference_vs_N60,difference_vs_exact_Bratu
chandrasekhar,20,1000,100,4.003222946048144,1.47407275308498861478617e-450,5.697734302783553682355e-5,
chandrasekhar,30,1000,100,4.003242370931855,1.486175906288510318201819e-450,8.080368040115062826811e-6,
chandrasekhar,40,1000,100,4.002944284453171,1.489333373005662109501654e-450,1.100911600641360104656e-6,
chandrasekhar,60,1000,100,4.003187035250416,1.490639745451624474814539e-450,0.0,
bratu,20,1000,100,4.009882413653486,2.574685354903097573721278e-422,1.606507191308978871967e-3,1.770558071646881181899e-3
bratu,30,1000,100,4.009328914365903,1.329004013394272887918371e-423,8.056320145987624843311e-4,7.862010152296975292286e-4
bratu,40,1000,100,4.009125170048821,4.625878456754438750447812e-424,4.159230738025857401337e-4,4.431748795069991505433e-4
bratu,60,1000,100,4.008982179041899,2.157933082019079242977926e-424,0.0,1.990539702944187990148e-4
