n,residual_inf,increment_inf,acoc,acoc_status,residual_near_precision
0,2.498745740918797303139685e-1,,,fewer_than_three_increments,False
1,2.491670471064395235406571e-6,3.28902432102687626573277e-1,,fewer_than_three_increments,False
2,2.742674949245285873093524e-26,3.510336434711178174668521e-6,,fewer_than_three_increments,False
3,8.956218039226320230351624e-106,3.200704348262358031258476e-26,4.030820291614937,usable,False
4,4.625878456754438750447812e-424,1.245694039429022777587253e-105,3.962546173176151,usable,False
5,2.973065148299954518301641e-1002,5.388234051223361963863265e-424,4.009125170048821,usable,True
