n,residual_inf,increment_inf,acoc,acoc_status,residual_near_precision
0,1.732117178187168215426142e-1,,,fewer_than_three_increments,False
1,1.583096766995454036686618e-6,2.511169956485397808969236e-1,,fewer_than_three_increments,False
2,7.980421119388045784828025e-27,2.358967683991823675822473e-6,,fewer_than_three_increments,False
3,1.832860566314034775888328e-111,9.793127237972681239437325e-27,4.054341706333612,usable,False
4,1.486175906288510318201819e-450,1.991172051297106067195923e-111,4.155266470085303,usable,False
5,1.189226059319981807320657e-1001,1.808240028216984413100403e-450,4.003242370931855,usable,True
