n,residual_inf,increment_inf,acoc,acoc_status,residual_near_precision
0,2.497787516569389078465319e-1,,,fewer_than_three_increments,False
1,2.523014017330796021219137e-6,3.288667493113047022646828e-1,,fewer_than_three_increments,False
2,2.896231273217757692025573e-26,3.553876024090511403815925e-6,,fewer_than_three_increments,False
3,1.16563050657037300521705e-105,3.383389646626889399283079e-26,4.031427608741089,usable,False
4,1.329004013394272887918371e-423,1.620030690341993123365565e-105,3.961762206537494,usable,False
5,5.946130296599909036603283e-1002,1.54967367640932430266792e-423,4.009328914365903,usable,True
