n,residual_inf,increment_inf,acoc,acoc_status,residual_near_precision
0,3.267053989957461547648175e-1,,,fewer_than_three_increments,False
1,4.771052642728192902263283e-10,3.271316137204128631744158e-1,,fewer_than_three_increments,False
2,1.276931827200904855556849e-45,4.787416477062320869965257e-10,,fewer_than_three_increments,False
3,1.467877369216826650402543e-187,1.279543033706743495208355e-45,4.026550214448629,usable,False
4,1.155496033988893017238417e-755,1.472923480033780414859699e-187,3.990068026800222,usable,False
5,3.240176470217528557055304e-1002,1.157858108736161086098974e-755,4.002458988062704,usable,True
