n,residual_inf,increment_inf,acoc,acoc_status,residual_near_precision
0,1.732442231876092102170831e-1,,,fewer_than_three_increments,False
1,1.58386455574758719246979e-6,2.511776949273171720256126e-1,,fewer_than_three_increments,False
2,7.992626130267250465547897e-27,2.360148610219579731019715e-6,,fewer_than_three_increments,False
3,1.819039615571761824588663e-111,9.808906980142682103872432e-27,4.054336499660475,usable,False
4,1.489333373005662109501654e-450,1.971740987967646042464735e-111,4.155607978947906,usable,False
5,1.189226059319981807320657e-1001,1.81299026878413333167196e-450,4.002944284453171,usable,True
