n,residual_inf,increment_inf,acoc,acoc_status,residual_near_precision
0,2.499438105553110432100529e-1,,,fewer_than_three_increments,False
1,2.470150129766636367390648e-6,3.289281439698763409244087e-1,,fewer_than_three_increments,False
2,2.636584479513890737850561e-26,3.479181531018568367618972e-6,,fewer_than_three_increments,False
3,7.410174142617768391395954e-106,3.074651998116470323931042e-26,4.030385202412589,usable,False
4,2.157933082019079242977926e-424,1.030388827167401928908303e-105,3.963102551839024,usable,False
5,5.946130296599909036603283e-1002,2.511683989525925597179241e-424,4.008982179041899,usable,True
