n,residual_inf,increment_inf,acoc,acoc_status,residual_near_precision
0,1.732677199554910286492489e-1,,,fewer_than_three_increments,False
1,1.584420363577284299742661e-6,2.512215758167860770030292e-1,,fewer_than_three_increments,False
2,8.001454536115524893140261e-27,2.361003338706960861609951e-6,,fewer_than_three_increments,False
3,1.829761505834016524211415e-111,9.820321870033713914403013e-27,4.054332941523579,usable,False
4,1.490639745451624474814539e-450,1.992875631039795877626724e-111,4.155476499595981,usable,False
5,1.263552688027480670278198e-1001,1.815430580258642492099163e-450,4.003187035250416,usable,True
