n,residual_inf,increment_inf,acoc,acoc_status,residual_near_precision
0,1.731205264551847708403712e-1,,,fewer_than_three_increments,False
1,1.580949868788651540206571e-6,2.509467423317454218102756e-1,,fewer_than_three_increments,False
2,7.946233215504914109194142e-27,2.355664190859778984515737e-6,,fewer_than_three_increments,False
3,1.814006097170185450564722e-111,9.748932146193164435655961e-27,4.05435809719301,usable,False
4,1.47407275308498861478617e-450,1.979623204670262515210814e-111,4.155017659201952,usable,False
5,1.189226059319981807320657e-1001,1.795252478418239416982861e-450,4.003222946048144,usable,True
