n,residual,increment,ACOC,residual_at_working_precision_floor
1,0.00029273395517075873573916269501648673,0.58774163907115686911281432285483509,,False
2,3.002896599738683094271013278858435e-19,0.00038044296013749585418401605379741191,,False
3,1.2161850522362575515635213567191051e-77,3.3151162963027898148150297690936613e-19,4.7225706004665312641694333811256487,False
4,1.2044268509394291018990322339817576e-312,1.5779277629274358876410361540426801e-77,3.8727238968996513566010652619805964,False
5,2.93863001392834320456747906101561e-1251,1.3261074894958612523371677382464143e-312,4.0306205065185573965624469831014941,False
6,9.0158987035565471638411579179185262e-2002,3.812759955634344161347427111846842e-1251,3.9925100904538303636210821274648999,True
