n,residual_inf,increment_inf,acoc,acoc_status,residual_near_precision
0,2.49509674969819823477643e-1,,,fewer_than_three_increments,False
1,2.608172693825945245724329e-6,3.28765935739687196917805e-1,,fewer_than_three_increments,False
2,3.372313634723664401502013e-26,3.678806465919256413085507e-6,,fewer_than_three_increments,False
3,2.437951821086626532194687e-105,3.951504479522734493894223e-26,4.033168856692588,usable,False
4,2.574685354903097573721278e-422,3.38413796978910762369605e-105,3.959513962605029,usable,False
5,5.946130296599909036603283e-1002,3.011719227806878579089564e-422,4.009882413653486,usable,True
