n,residual_inf,increment_inf,acoc,acoc_status,residual_near_precision
0,3.267053989957461547648175e-1,,,fewer_than_three_increments,False
1,8.260690194200283696495946e-6,3.400329076740964454187484e-1,,fewer_than_three_increments,False
2,3.491166592478702846631569e-28,9.104126145583815077251946e-6,,fewer_than_three_increments,False
3,4.706249434790286095515133e-140,3.84761521811693241106085e-28,4.893408432101336,usable,False
4,2.095061532551995666841538e-699,5.186758198409799803324085e-140,5.000002791965296,usable,False
5,2.973065148299954518301641e-1002,2.308967625006745059234584e-699,5.0,usable,True
